
Minimum time:  60487

Test #		Time
531:		63290
532:		63619
533:		63770
534:		62932
535:		62269
536:		61727
537:		61832
538:		62953
539:		62678
540:		67541
541:		62710
542:		61572
543:		61565
544:		61917
545:		67463
546:		67996
547:		62452
548:		61863
549:		62193
550:		61846
551:		62149
552:		62078
553:		61812
554:		61583
555:		61858
556:		62466
557:		62138
558:		61589
559:		62344
560:		62645
561:		61944
562:		61802
563:		62091
564:		62026
565:		61472
566:		61568
567:		61947
568:		61801
569:		61851
570:		61721
571:		61519
572:		61412
573:		61854
574:		61864
575:		62464
576:		61971
577:		61537
578:		61513
579:		61610
580:		61653
581:		62374
582:		63273
583:		62105
584:		63516
585:		61701
586:		62393
587:		61811
588:		61563
589:		62444
590:		62421
591:		61198
592:		62333
593:		62067
594:		61537
595:		62241
596:		62145
597:		61374
598:		62311
599:		62385
600:		61425
601:		61997
602:		62177
603:		61461
604:		62296
605:		62439
606:		61996
607:		62398
608:		62324
609:		62873
610:		65999
611:		68174
612:		62930
613:		63655
614:		64230
615:		62224
616:		62566
617:		62331
618:		61202
619:		62848
620:		62620
621:		61716
622:		63284
623:		62430
624:		62061
625:		62336
626:		62547
627:		61719
628:		62602
629:		62188
630:		62243
631:		61974
632:		61813
633:		61297
634:		62482
635:		61953
636:		61372
637:		62065
638:		62255
639:		61882
640:		61976
641:		61869
642:		61857
643:		63037
644:		62714
645:		61925
646:		62522
647:		62683
648:		61838
649:		62822
650:		62077
651:		61580
652:		64149
653:		62006
654:		61776
655:		62491
656:		62089
657:		61435
658:		62606
659:		62437
660:		61520
661:		62395
662:		62589
663:		62882
664:		62326
665:		62019
666:		61943
667:		64539
668:		62165
669:		61939
670:		62465
671:		67428
672:		62832
673:		62229
674:		62428
675:		61828
676:		62478
677:		62194
678:		61383
679:		61803
680:		61914
681:		61925
682:		62911
683:		62363
684:		63497
685:		64494
686:		66571
687:		63853
688:		62560
689:		62906
690:		64427
691:		63435
692:		61846
693:		62401
694:		62891
695:		62179
696:		62427
697:		63119
698:		63698
699:		61463
700:		62814
701:		62895
702:		62146
703:		62336
704:		62436
705:		61935
706:		62064
707:		61654
708:		61824
709:		62076
710:		61845
711:		61506
712:		62199
713:		62006
714:		61546
715:		61848
716:		61637
717:		61278
718:		62130
719:		61589
720:		61304
721:		61716
722:		61544
723:		61375
